Date/Time (LST),Temp (°C),Dew Point Temp (°C),Rel Hum (%),Precip. Amount (mm),Wind Dir (10s deg),Wind Spd (km/h),Visibility (km),Stn Press (kPa),Time
2021-01-01 00:00,-2.8,-4.6,87.0,0.0,13.0,5.0,16.1,100.63,2021-01-01 00:00:00
2021-01-01 01:00,-1.7,-5.2,77.0,0.0,12.0,8.0,16.1,100.6,2021-01-01 01:00:00
2021-01-01 02:00,-1.9,-4.9,80.0,0.0,10.0,9.0,16.1,100.56,2021-01-01 02:00:00
2021-01-01 03:00,-2.2,-5.0,81.0,0.0,14.0,9.0,16.1,100.6,2021-01-01 03:00:00
2021-01-01 04:00,-1.2,-4.1,81.0,0.0,14.0,9.0,16.1,100.52,2021-01-01 04:00:00
2021-01-01 05:00,-0.4,-3.6,79.0,0.0,13.0,11.0,16.1,100.47,2021-01-01 05:00:00
2021-01-01 06:00,-1.5,-4.2,82.0,0.0,9.0,15.0,16.1,100.38,2021-01-01 06:00:00
2021-01-01 07:00,-0.9,-3.7,81.0,0.0,11.0,17.0,16.1,100.4,2021-01-01 07:00:00
2021-01-01 08:00,-0.7,-3.4,82.0,0.0,11.0,17.0,16.1,100.29,2021-01-01 08:00:00
2021-01-01 09:00,-0.4,-2.9,83.0,0.0,11.0,21.0,16.1,100.19,2021-01-01 09:00:00
2021-01-01 10:00,-0.1,-2.6,83.0,0.0,10.0,26.0,16.1,100.12,2021-01-01 10:00:00
2021-01-01 11:00,0.3,-2.3,83.0,0.0,9.0,26.0,16.1,99.93,2021-01-01 11:00:00
2021-01-01 12:00,0.4,-2.5,81.0,0.0,11.0,32.0,16.1,99.83,2021-01-01 12:00:00
2021-01-01 13:00,0.6,-2.3,81.0,0.0,9.0,28.0,16.1,99.5,2021-01-01 13:00:00
2021-01-01 14:00,0.5,-1.3,88.0,0.5,10.0,28.0,16.1,99.36,2021-01-01 14:00:00
2021-01-01 15:00,0.4,-0.8,92.0,2.2,9.0,24.0,8.1,99.46,2021-01-01 15:00:00
2021-01-01 16:00,0.4,-0.3,95.0,2.0,8.0,37.0,16.1,99.13,2021-01-01 16:00:00
2021-01-01 17:00,0.4,-0.5,94.0,0.0,9.0,41.0,16.1,99.03,2021-01-01 17:00:00
2021-01-01 18:00,0.3,-0.4,95.0,0.0,9.0,37.0,14.5,98.86,2021-01-01 18:00:00
2021-01-01 19:00,0.7,0.3,97.0,0.2,10.0,37.0,14.5,98.73,2021-01-01 19:00:00
2021-01-01 20:00,1.1,0.8,98.0,0.2,10.0,30.0,9.7,98.63,2021-01-01 20:00:00
2021-01-01 21:00,1.7,1.4,98.0,0.8,9.0,28.0,9.7,98.41,2021-01-01 21:00:00
2021-01-01 22:00,2.1,1.8,98.0,0.0,10.0,22.0,16.1,98.28,2021-01-01 22:00:00
2021-01-01 23:00,2.2,2.1,99.0,2.2,10.0,18.0,12.9,98.23,2021-01-01 23:00:00
2021-01-02 00:00,2.4,2.3,99.0,0.8,11.0,13.0,9.7,98.18,2021-01-02 00:00:00
2021-01-02 01:00,0.9,0.8,99.0,2.0,36.0,17.0,4.8,98.18,2021-01-02 01:00:00
2021-01-02 02:00,0.1,0.0,99.0,1.2,36.0,21.0,12.9,98.26,2021-01-02 02:00:00
2021-01-02 03:00,0.2,-0.1,98.0,0.2,34.0,21.0,4.8,98.49,2021-01-02 03:00:00
2021-01-02 04:00,0.2,-0.1,98.0,0.0,31.0,13.0,8.1,98.64,2021-01-02 04:00:00
2021-01-02 05:00,0.3,0.0,98.0,0.0,32.0,17.0,14.5,98.73,2021-01-02 05:00:00
2021-01-02 06:00,0.5,0.1,97.0,0.0,30.0,18.0,9.7,98.95,2021-01-02 06:00:00
2021-01-02 07:00,0.5,0.2,98.0,0.0,31.0,17.0,16.1,99.1,2021-01-02 07:00:00
2021-01-02 08:00,0.7,0.6,99.0,0.0,30.0,15.0,8.1,99.25,2021-01-02 08:00:00
2021-01-02 09:00,1.0,0.4,96.0,0.0,32.0,15.0,16.1,99.34,2021-01-02 09:00:00
2021-01-02 10:00,1.4,0.7,95.0,0.0,32.0,9.0,16.1,99.44,2021-01-02 10:00:00
2021-01-02 11:00,1.7,1.0,95.0,0.0,30.0,8.0,16.1,99.49,2021-01-02 11:00:00
2021-01-02 12:00,2.0,1.1,94.0,0.0,32.0,4.0,16.1,99.42,2021-01-02 12:00:00
2021-01-02 13:00,2.4,1.4,93.0,0.0,30.0,8.0,16.1,99.42,2021-01-02 13:00:00
