SensorId,Group
425256,Area 1
48641,Area 1
520135,Area 1
394083,Area 1
631939,Area 1
559840,Area 1
414033,Area 1
292060,Area 1
157610,Area 1
202189,Area 1
146525,Area 1
57216,Area 1
325217,Area 1
403450,Area 1
291575,Area 1
542307,Area 1
408461,Area 1
827,Area 1
290688,Area 1
627169,Area 1
213471,Area 1
453034,Area 1
206867,Area 1
79804,Area 1
113470,Area 1
500790,Area 1
426192,Area 1
447716,Area 1
470132,Area 1
656732,Area 1
694112,Area 1
180116,Area 1
254972,Area 1
679247,Area 1
359065,Area 1
186870,Area 1
336476,Area 1
180921,Area 1
425516,Area 1
407475,Area 1
514869,Area 1
9341,Area 1
45876,Area 1
693864,Area 1
591627,Area 1
448069,Area 1
336332,Area 1
179876,Area 1
627182,Area 1
55635,Area 1
135717,Area 1
656385,Area 1
120267,Area 1
967,Area 1
515007,Area 1
146526,Area 1
135725,Area 1
140249,Area 1
112883,Area 1
313977,Area 1
611326,Area 1
90684,Area 1
627234,Area 1
362774,Area 1
693982,Area 1
548742,Area 1
470000,Area 1
369793,Area 1
231192,Area 1
549561,Area 1
278539,Area 1
406208,Area 1
617127,Area 1
425385,Area 1
68279,Area 1
627309,Area 1
135246,Area 1
470235,Area 1
303553,Area 1
627440,Area 1
224860,Area 1
649819,Area 1
325218,Area 1
57218,Area 1
501746,Area 1
650077,Area 1
635815,Area 1
403096,Area 1
202341,Area 1
146527,Area 1
157753,Area 1
46347,Area 1
214163,Area 1
157630,Area 1
144562,Area 1
45979,Area 1
447600,Area 1
616473,Area 1
559862,Area 1
671912,Area 1
694093,Area 1
604978,Area 1
638489,Area 1
639540,Area 1
683165,Area 1
632414,Area 1
694005,Area 1
515485,Area 1
314453,Area 1
635991,Area 1
476550,Area 1
683164,Area 1
694095,Area 1
1069,Area 1
157729,Area 1
46024,Area 1
617128,Area 1
650072,Area 1
348399,Area 1
604902,Area 1
536381,Area 1
537403,Area 1
672005,Area 1
694004,Area 1
412495,Area 1
545811,Area 1
430063,Area 1
402941,Area 1
447732,Area 1
291568,Area 1
447522,Area 1
348398,Area 1
209146,Area 1
90836,Area 1
3952,Area 1
224552,Area 1
163603,Area 1
560089,Area 1
499423,Area 1
184498,Area 1
45343,Area 1
631967,Area 1
118373,Area 1
269361,Area 1
254384,Area 1
432482,Area 1
291541,Area 1
134600,Area 1
246337,Area 1
115878,Area 1
117755,Area 1
492614,Area 1
448049,Area 1
72310,Area 1
4983,Area 1
1212,Area 1
424637,Area 1
648942,Area 1
89937,Area 1
268477,Area 1
274047,Area 1
536555,Area 1
365410,Area 1
432318,Area 1
